x,y
33,34
30,12
33,6
8,36
13,7
32,7
10,7
39,32
8,4
31,35
13,36
11,9
45,18
51,21
46,21
14,30
35,36
31,10
36,37
11,32
11,31
31,12
10,34
46,21
25,9
36,33
26,11
34,40
13,8
11,11
12,29
16,32
33,40
12,8
7,8
33,9
5,39
30,14
7,31
53,21
49,12
10,11
49,20
29,8
14,32
8,14
46,22
29,33
54,20
9,35
27,11
51,19
33,29
14,4
14,31
39,36
15,33
6,5
9,37
10,33
10,6
30,9
9,39
31,16
30,37
26,10
29,12
29,10
28,10
13,10
40,36
32,6
39,35
32,35
33,35
27,6
33,4
10,33
44,18
9,10
54,27
10,4
33,38
9,39
4,12
8,14
51,20
30,7
47,27
51,15
45,20
9,10
11,35
56,15
33,36
10,37
10,35
31,12
31,13
32,34
30,11
46,21
33,27
7,31
31,12
51,22
8,8
25,5
34,32
6,38
50,23
47,23
12,9
7,37
11,35
8,12
12,37
51,20
11,14
11,11
29,9
31,34
24,9
13,33
12,38
11,32
6,29
50,21
37,29
10,7
44,19
4,34
4,35
50,21
8,33
30,10
38,36
9,33
10,35
12,36
33,11
14,9
10,8
49,16
10,36
31,7
7,8
4,34
12,32
12,7
51,22
10,9
28,4
32,12
35,31
10,5
34,34
50,17
26,10
11,38
9,36
48,17
35,31
12,9
39,33
48,25
34,35
9,6
34,31
8,36
9,43
12,10
1,9
11,36
30,13
52,16
33,33
7,35
9,32
9,33
12,36
31,10
16,32
24,12
11,10
15,35
10,9
8,12
10,36
51,16
12,38
10,8
45,14
41,33
10,37
28,13
3,35
10,9
13,4
51,24
12,33
9,12
52,17
48,19
30,34
8,7
47,20
12,7
12,15
35,32
12,8
39,37
32,4
7,3
49,17
30,9
32,31
5,32
27,7
38,35
8,8
8,34
9,34
12,14
30,11
30,8
44,19
7,31
9,10
9,33
33,34
9,14
5,8
26,12
8,34
8,10
3,32
37,36
29,9
45,15
10,9
13,9
27,9
6,35
47,24
12,34
35,36
34,34
26,3
52,17
10,12
8,11
8,5
23,11
12,34
30,12
28,5
47,21
8,13
27,9
8,10
24,4
12,5
45,15
51,20
14,8
9,36
51,25
13,11
32,31
5,13
10,34
49,20
51,19
28,14
7,11
8,9
28,7
41,35
9,13
49,22
32,40
35,36
47,21
6,7
49,18
28,8
27,14
8,38
29,9
10,37
10,37
9,5
50,13
35,38
14,7
9,30
52,23
52,18
24,9
39,35
6,34
4,38
50,26
13,16
34,8
6,10
39,32
50,12
10,35
7,35
25,5
35,34
49,18
30,14
31,6
29,12
28,9
33,13
1,33
34,39
48,23
5,15
9,6
48,23
34,38
31,33
5,34
12,39
48,20
10,9
29,8
46,25
33,31
8,9
37,33
50,27
10,13
33,9
27,11
14,8
25,9
7,8
25,12
34,28
47,20
32,13
32,13
38,33
11,11
29,9
6,12
54,17
31,36
8,5
5,32
30,11
47,18
34,34
42,36
34,34
44,17
26,6
12,37
34,36
6,11
9,30
30,9
11,9
34,37
34,35
13,33
36,34
30,14
12,33
33,7
3,31
35,6
32,37
34,37
9,8
41,34
10,14
45,21
48,19
47,20
7,33
11,35
26,13
28,11
31,35
12,11
33,34
50,16
14,10
18,38
7,10
31,9
5,34
39,39
30,10
7,35
49,20
8,35
48,19
36,36
54,19
10,35
13,34
56,19
30,9
14,10
9,36
7,31
11,6
47,16
33,6
6,35
33,7
27,3
30,14
34,34
8,8
10,9
10,33
11,9
53,21
7,37
33,32
36,36
10,12
8,40
30,13
8,40
32,11
8,10
49,18
53,23
30,30
10,6
48,22
11,7
11,4
35,40
45,25
32,8
49,18
49,20
50,23
36,37
46,14
7,12
27,35
34,36
32,10
49,19
33,40
39,33
36,29
47,24
12,9
35,32
49,18
27,11
30,38
48,15
39,36
10,6
12,31
11,31
35,32
32,40
27,10
38,37
8,5
41,36
29,33
29,6
57,27
8,13
38,29
6,7
25,9
36,37
48,21
10,33
33,38
9,10
32,36
31,34
35,35
34,42
54,18
34,39
36,33
8,36
35,35
9,15
44,18
26,11
51,19
41,31
49,19
7,34
4,35
34,31
30,28
14,12
52,16
7,31
11,38
52,18
9,9
30,13
10,8
9,10
35,34
33,11
7,33
6,13
37,36
35,13
12,33
49,17
37,33
13,11
51,15
32,13
9,12
9,15
9,10
37,30
35,10
36,39
26,5
35,35
30,7
31,39
6,33
13,9
32,38
9,34
14,38
33,38
12,33
34,12
28,14
32,6
34,12
10,30
29,10
31,33
10,13
34,8
52,17
36,35
11,29
10,16
10,35
29,38
32,35
33,39
47,22
6,13
31,15
8,38
34,34
31,6
5,10
33,32
12,8
13,34
37,36
36,36
33,2
9,8
33,33
38,12
50,18
39,35
12,41
44,23
8,32
36,31
26,14
9,30
30,39
51,17
6,35
29,13
48,19
27,6
26,6
8,13
10,10
9,11
8,16
35,34
32,28
10,10
16,12
44,21
49,25
7,6
10,34
35,35
33,40
51,25
10,14
37,33
33,30
37,32
30,9
31,36
12,10
48,16
46,22
49,25
13,6
7,34
11,33
28,9
32,34
31,11
49,26
30,12
33,9
46,23
35,35
34,33
50,22
45,23
32,6
29,9
38,32
32,35
32,8
10,11
39,37
50,21
30,36
52,15
42,19
7,32
12,10
27,8
26,10
10,32
34,32
12,29
29,8
9,34
9,32
28,13
12,35
28,11
26,39
9,38
10,14
27,9
26,8
26,11
47,17
31,12
39,36
49,15
2,38
36,31
26,4
29,12
49,17
36,38
4,34
10,8
7,10
27,6
51,21
51,20
11,5
5,38
8,7
33,36
27,31
7,36
27,8
8,11
13,33
31,39
10,14
29,11
55,17
49,17
33,13
0,30
28,12
47,24
28,10
28,10
50,18
31,27
50,18
35,36
29,8
27,9
53,16
28,11
44,23
10,31
7,10
46,19
51,21
51,23
39,34
7,35
11,36
14,5
7,9
31,37
30,34
14,8
12,7
32,32
30,35
48,24
6,35
53,21
16,32
34,35
16,35
10,40
9,9
32,39
8,35
37,36
35,11
37,33
45,19
32,8
37,30
9,34
27,5
31,36
53,13
51,19
4,10
49,20
51,21
9,35
9,34
10,30
16,36
3,8
6,36
12,9
12,11
33,32
6,8
26,8
49,20
52,14
11,35
48,18
32,31
6,9
31,7
7,28
9,4
27,12
30,8
50,21
30,11
6,40
53,19
10,10
45,24
10,6
33,14
10,8
26,14
9,9
11,35
13,16
13,8
34,3
36,32
4,14
5,1
33,33
27,8
29,10
9,9
33,32
30,10
53,17
33,10
11,15
50,21
32,34
8,35
33,35
34,38
27,14
32,8
10,36
13,36
24,8
31,34
32,9
34,34
29,6
12,31
31,6
51,21
9,38
12,10
52,22
50,16
49,26
9,8
34,33
32,10
7,32
33,12
12,34
51,18
9,32
7,9
32,11
27,8
49,24
12,4
11,27
